,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
207,Order Picker (Current  Employee),Order Picker ,Current Employee, Mount Juliet, TN ," Mount Juliet, TN "," December 10, 2021",Not as bad as it seems,I am a picker and the work is incredibly easy. What’s not easy is 10 hour shift with all the lights at my station which gives me migraines everyday and makes it so hot while working. Yeah they get on you about rate but honestly if you just find go at your own pace but find a good rhythm it’ll be fine. Benefits are the best thing about the job. Plus always overtime opportunities for extra money. This job is mentally and physically draining.,"Good benefits, ok pay","Short breaks, long shifts, under appreciated",3,Amazon.com
208,Inbound/Outbound Warehouse Associate (Former  Employee),Inbound/Outbound Warehouse Associate ,Former Employee, Fresno, CA ," Fresno, CA "," December 10, 2021",Safety issues,"Not safe at all. If you get injured they rush your case and then fire you. You will have to end up taking them to court. Void of ethics, fails to properly report injuries.",Direct deposit,Log wal to breaks. I kwpt a bar in my pocket.not worth walking a mile to my meal,1,Amazon.com
209,Virtual Customer Service Representative (Former  Employee),Virtual Customer Service Representative ,Former Employee, Miami, FL ," Miami, FL "," December 9, 2021",Awful stay away.,"Awful stay away. Amazon does not care about its employees. You are just a number to them. If your mental health suffers they don't care.

Amazon does not care if most of your customers are happy, they only care about the customers who are not happy and blame you the workers for unhappy customers, even though most of the time unhappy customers are just being unreasonable.",None,Its Amazon,1,Amazon.com
210,Picker/Packer (Former  Employee),Picker/Packer ,Former Employee, Fernley, NV ," Fernley, NV "," December 9, 2021",Bleh,"Just another warehouse job. High expectations with little compensation. However, it wasn’t the worst place I’ve worked. Again, just another warehouse job.",No recognition, ,2,Amazon.com
211,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Lgb3 , Lgb3 , Lgb3 ," December 9, 2021",Ok place to work if you don’t value your hardwork,You are literally a robot. They don’t really care about you and managers don’t really try to connect with you. All they care about is rate and then when you go too fast to make rate you get written up for making mistakes.,Benefits,Everything else.,2,Amazon.com
212,Wharehouse Associate (Current  Employee),Wharehouse Associate ,Current Employee, Akron, OH ," Akron, OH "," December 9, 2021",not for everyone,"easy to learn any process .good management
there's opportunity for everybody, working hard most the time pay not enough, break time 30 minutes need 7 minutes walking to get there",easy to learn opportunity for grow,pay,3,Amazon.com
213,CSR (Current  Employee),CSR ,Current Employee, Remote , Remote , Remote ," December 9, 2021",It’s a job,Pay is decent. I like that we have the choice of getting to work from the comfort of our own home. Customer service role is exactly how you would expect. Taking peoples complaints and helping resolve., , ,3,Amazon.com
214,HR Assistant/Case Manager (Current  Employee),HR Assistant/Case Manager ,Current Employee, Remote , Remote , Remote ," December 9, 2021","Big company, but you are expendable.","Great perks, awesome work from home.
They don’t do time off paid, they don’t hire out right. They will tell you you will be hired soon but you aren’t. The job is not hard, i worked with great people. They care a lot. But the company doesn’t.","Great managers, fun environment, work from home.","Short breaks and lunches, no paid time off, no sick time, no time off for grieving.",3,Amazon.com
215,Picker/Decant (Current  Employee),Picker/Decant ,Current Employee, Joliet, IL ," Joliet, IL "," December 9, 2021",The pay is good and so are the benefits.,Every job has its pros and cons. I've been here 4 years and 5 is really the maximum anybody should work here if you are not willing to move up. The pay does cap out at some point,Tons of OT with double pay,No work life balance,3,Amazon.com
216,Packer (Former  Employee),Packer ,Former Employee, San Marcos, TX ," San Marcos, TX "," December 9, 2021","Not horrible, no great","It’s good and it’s bad. Work is straight forwards, bbut feet def do start hurting during the 12 hour shifts. Get comfy shoes. You don’t pick what your title is, they select for you and then take you to the line to learn, and you start your first day.", , ,3,Amazon.com
217,Area Manager (Former  Employee),Area Manager ,Former Employee, Cleveland, OH ," Cleveland, OH "," December 9, 2021",Good pay,"I worked as an area manager at Amazon. I stayed only long enough to figure out it wasn’t for me, however that doesn’t mean it couldn’t be for you. It’s competitive, good pay, and you can climb very far very fast. The trade off is a constant grind and very little work/life balance.",Good pay and advancement,You must be a workhorse,4,Amazon.com
218,Stower (Seasonal) (Former  Employee),Stower ,Former Employee, Orlando, FL ," Orlando, FL "," December 9, 2021",They think we are robots,"It is a ver hard work. They track your time even when going to the bathroom. Eating areas are far from your work station, can take you up to 10 min walking!",None,Everything,2,Amazon.com
219,Central Operations Associate (Current  Employee),Central Operations Associate ,Current Employee, Tempe, AZ ," Tempe, AZ "," December 9, 2021",Lack of management,"Working with Amazon and while at school you are benefited on working with your own schedule and currently their pay is higher than minimum wage. With that being said, they expect you to be over worked and know everything with minimal amount of training.", , ,3,Amazon.com
220,Tier 3 Technician (Current  Employee),Tier 3 Technician ,Current Employee, Dallas, TX ," Dallas, TX "," December 9, 2021","Long Hours, Low Pay, and Constant Turnover","IT is what it is. I was a tier 3 at Amazon. Make a little more money than your average warehouse worker, do a little less work than the tier 1s, but all in all this is not a long term career option if you want to progress.", , ,3,Amazon.com
221,Sr. Program Manager (Current  Employee),Sr. Program Manager ,Current Employee, Seattle, WA ," Seattle, WA "," December 9, 2021",Lots of ambiguity but lots of room for growth,"You will learn a lot quickly, ask questions and make sure you own your own development. You will work hard and be in a lot of meetings but the things you learn will take you to the next level.",Can promote quickly,No set process so you have to have the desire to learn on your own,4,Amazon.com
222,Sortation Associate (Current  Employee),Sortation Associate ,Current Employee, Knottingley, West Yorkshire ," Knottingley, West Yorkshire "," December 9, 2021",horrible,"horrible place to work. management only cares about hitting targets. you're expected to scan 120 parcels an hour with 0 to no benefits (literally only one i can think of is free hot drinks machines). no bonuses for hitting the targets or even a thanks, if you don't achieve it they're rude to you. clear difference between blue badges (amazon employees) and green badges (agency temp workers).
they pretend to care about workers health and safety but if you call off sick a enough times you get 3 warnings until you're dismissed (PMP recruitment).
You're expected to give 100% of yourself to the job meanwhile supervisors just roam around with their laptops telling you to work faster.
Depressing overall, for the effort put in not enough benefits and under payed for the amount of workload.
if leadership wasn't trash and actually knew what they were doing work would be more enjoyable and nobody would be overworked
only 1 person at a time in lifts but throughout the warehouse there is no social distancing whatsoever.","£10 an hour, weekly pay.",too many things,2,Amazon.com
223,"Process Guide, Learning Ambassador & Problem Solver (Former  Employee)","Process Guide, Learning Ambassador & Problem Solver ",Former Employee, New York State , New York State , New York State ," December 9, 2021",Human Resource is Terrible- Management Horrendous,Hey - come to work here if you only plan to stay at the most 6 months - that’s close to when my entire team burned out after 1 peak - 2 mini peaks - and 9 weeks of consecutive MET ( not the total MET given during time there - there was much more) Sucks having to work 50 hrs - 60 hrs min per week mandatory,Insurance,"TOT time off task is ridiculous, MET mandatory extra time absolutely ridiculous, HR non existent, management in a revolving door, Show up and you are hired, no skills required brings in a lot of shady staff.",1,Amazon.com
